committee_id,committee_name,report_year,report_type,image_number,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_state,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,memo_code,memo_code_full,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,amendment_indicator,amendment_indicator_desc,schedule_type_full,load_date,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,payee_last_name,payee_first_name,payee_middle_name,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,spender_committee_type,spender_committee_org_type,spender_committee_designation,filing_form,link_id,recipient_city,recipient_zip,disbursement_purpose_category,memo_text,two_year_transaction_period,schedule_type,sub_id,pdf_url,line_number_label,payee_prefix,payee_suffix,payee_employer,payee_occupation,ref_disp_excess_flg,comm_dt
C00721365,DEVOLDER-SANTOS FOR CONGRESS,2021,YE,202301249574937626,17,SB17.I3047,1678913,ORG,ORGANIZATION,,,TPI BY BOOKING.COM,NL,,,,,TRAVEL BOOKING SERVICE FEE,,,2021-12-12 00:00:00,1.17,,,,,,,,,,,,,P2022,PRIMARY,PRIMARY,2022,C,CHANGE,ITEMIZED DISBURSEMENTS,2023-01-26 03:36:29,,,,0.00,,,,002,Travel Expenses,,,,,,,H,,P,F3,4012420231720348055,AMSTERDAM,0101700CE,OTHER,,2022,SB,4012520231720529509,https://docquery.fec.gov/cgi-bin/fecimg/?202301249574937626,Operating Expenditures,,,,,,
C00721365,DEVOLDER-SANTOS FOR CONGRESS,2021,YE,202301249574937612,17,SB17.I2863,1678913,ORG,ORGANIZATION,,,MIAMI BEACH PARKING,FL,,,,,PARKING FEE,,,2021-10-15 00:00:00,3.00,,,,,,,,,,,,,P2022,PRIMARY,PRIMARY,2022,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2023-01-26 03:36:29,,,,0.00,,,,002,Travel Expenses,,,,,,,H,,P,F3,4012420231720348055,MIAMI BEACH,33140,OTHER,,2022,SB,4012520231720529467,https://docquery.fec.gov/cgi-bin/fecimg/?202301249574937612,Operating Expenditures,,,,,,
C00721365,DEVOLDER-SANTOS FOR CONGRESS,2021,YE,202301249574937605,17,SB17.I2875,1678913,ORG,ORGANIZATION,,,HYATT REGENCY WASHINGTON ON CAPITOL HILL,DC,,,,,WIFI FEE,,,2021-10-19 00:00:00,3.03,,,,,,,,,,,,,P2022,PRIMARY,PRIMARY,2022,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2023-01-26 03:36:29,,,,0.00,,,,002,Travel Expenses,,,,,,,H,,P,F3,4012420231720348055,WASHINGTON,20001,OTHER,,2022,SB,4012520231720529445,https://docquery.fec.gov/cgi-bin/fecimg/?202301249574937605,Operating Expenditures,,,,,,
C00721365,DEVOLDER-SANTOS FOR CONGRESS,2022,12G,202301249574938815,17,SB17.I9340,1678938,ORG,ORGANIZATION,,,NOBMAN'S HARDWARE,NY,,,,,HARDWARE MATERIALS FOR OFFICE,,,2022-10-15 00:00:00,3.25,,,,,,,,,,,,,G2022,GENERAL,GENERAL,2022,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2023-01-26 03:36:29,,,,0.00,,,,001,Administrative/Salary/Overhead Expenses ,,,,,,,H,,P,F3,4012420231720348064,OYSTER BAY,11771,OTHER,,2022,SB,4012520231720532988,https://docquery.fec.gov/cgi-bin/fecimg/?202301249574938815,Operating Expenditures,,,,,,
C00721365,DEVOLDER-SANTOS FOR CONGRESS,2021,YE,202301249574937612,17,SB17.I2862,1678913,ORG,ORGANIZATION,,,MIAMI BEACH PARKING,FL,,,,,PARKING FEE,,,2021-10-15 00:00:00,4.00,,,,,,,,,,,,,P2022,PRIMARY,PRIMARY,2022,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2023-01-26 03:36:29,,,,0.00,,,,002,Travel Expenses,,,,,,,H,,P,F3,4012420231720348055,MIAMI BEACH,33140,OTHER,,2022,SB,4012520231720529466,https://docquery.fec.gov/cgi-bin/fecimg/?202301249574937612,Operating Expenditures,,,,,,
C00721365,DEVOLDER-SANTOS FOR CONGRESS,2021,YE,202301249574937627,17,SB17.I3096,1678913,ORG,ORGANIZATION,,,TPI BY BOOKING.COM,NL,,,,,TRAVEL BOOKING SERVICE FEES,,,2021-10-31 00:00:00,4.07,,,,,,,,,,,,,P2022,PRIMARY,PRIMARY,2022,C,CHANGE,ITEMIZED DISBURSEMENTS,2023-01-26 03:36:29,,,,0.00,,,,002,Travel Expenses,,,,,,,H,,P,F3,4012420231720348055,AMSTERDAM,0101700CE,OTHER,,2022,SB,4012520231720529511,https://docquery.fec.gov/cgi-bin/fecimg/?202301249574937627,Operating Expenditures,,,,,,
C00721365,DEVOLDER-SANTOS FOR CONGRESS,2021,YE,202301249574937651,17,SB17.I2835,1678913,ORG,ORGANIZATION,,,UBER EATS,CA,,,,,FOOD & BEVERAGE DELIVERY,,,2021-10-17 00:00:00,4.33,,,,,,,,,,,,,P2022,PRIMARY,PRIMARY,2022,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2023-01-26 03:36:29,,,,0.00,,,,001,Administrative/Salary/Overhead Expenses ,,,,,,,H,,P,F3,4012420231720348055,SAN FRANCISCO,94103,OTHER,,2022,SB,4012520231720529584,https://docquery.fec.gov/cgi-bin/fecimg/?202301249574937651,Operating Expenditures,,,,,,
C00721365,DEVOLDER-SANTOS FOR CONGRESS,2022,30G,202301249574938963,17,SB17.I9463,1678943,ORG,ORGANIZATION,,,SPEEDWAY GAS,NY,,,,,BEVERAGE,,,2022-11-04 00:00:00,4.50,,,,,,,,,,,,,G2022,GENERAL,GENERAL,2022,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2023-01-26 03:36:29,,,,0.00,,,,001,Administrative/Salary/Overhead Expenses ,,,,,,,H,,P,F3,4012420231720348068,OYSTER BAY,11771,OTHER,,2022,SB,4012520231720533081,https://docquery.fec.gov/cgi-bin/fecimg/?202301249574938963,Operating Expenditures,,,,,,
C00721365,DEVOLDER-SANTOS FOR CONGRESS,2021,Q3,202301249574937406,17,SB17.I1777,1678908,ORG,ORGANIZATION,,,DELTA AIRLINES,GA,,,,,PLANE WIFI FEE,,,2021-09-21 00:00:00,4.99,,,,,,,,,,,,,P2022,PRIMARY,PRIMARY,2022,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2023-01-26 03:36:29,,,,0.00,,,,002,Travel Expenses,,,,,,,H,,P,F3,4012420231720348053,ATLANTA,30354,OTHER,,2022,SB,4012520231720531487,https://docquery.fec.gov/cgi-bin/fecimg/?202301249574937406,Operating Expenditures,,,,,,
C00721365,DEVOLDER-SANTOS FOR CONGRESS,2021,YE,202301249574937645,17,SB17.I3056,1678913,ORG,ORGANIZATION,,,UBER,CA,,,,,TAXI FARE,,,2021-12-18 00:00:00,5.00,,,,,,,,,,,,,P2022,PRIMARY,PRIMARY,2022,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2023-01-26 03:36:29,,,,0.00,,,,002,Travel Expenses,,,,,,,H,,P,F3,4012420231720348055,SAN FRANCISCO,94105,OTHER,,2022,SB,4012520231720529565,https://docquery.fec.gov/cgi-bin/fecimg/?202301249574937645,Operating Expenditures,,,,,,
C00721365,DEVOLDER-SANTOS FOR CONGRESS,2022,Q2,202301249574938048,17,SB17.I7452,1678920,ORG,ORGANIZATION,,,DELTA AIRLINES,GA,,,,,FLIGHT FEE,,,2022-04-30 00:00:00,5.00,,,,,,,,,,,,,P2022,PRIMARY,PRIMARY,2022,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2023-01-26 03:36:29,,,,0.00,,,,002,Travel Expenses,,,,,,,H,,P,F3,4012420231720348057,ATLANTA,30354,OTHER,,2022,SB,4012520231720529678,https://docquery.fec.gov/cgi-bin/fecimg/?202301249574938048,Operating Expenditures,,,,,,
C00721365,DEVOLDER-SANTOS FOR CONGRESS,2021,Q2,202301249574937268,17,SB17.I1620,1678905,ORG,ORGANIZATION,,,UBER,CA,,,,,TAXI FAIR,,,2021-05-31 00:00:00,5.44,,,,,,,,,,,,,P2022,PRIMARY,PRIMARY,2022,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2023-01-26 03:36:29,,,,0.00,,,,002,Travel Expenses,,,,,,,H,,P,F3,4012420231720348052,SAN FRANCISCO,94105,OTHER,,2022,SB,4012520231720532761,https://docquery.fec.gov/cgi-bin/fecimg/?202301249574937268,Operating Expenditures,,,,,,
C00721365,DEVOLDER-SANTOS FOR CONGRESS,2021,Q1,202301249574937073,17,SB17.I501,1678901,ORG,ORGANIZATION,,,UBER,CA,,,,,TAXI FARE,,,2021-02-26 00:00:00,5.75,,,,,,,,,,,,,P2022,PRIMARY,PRIMARY,2022,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2023-01-26 03:36:29,,,,0.00,,,,002,Travel Expenses,,,,,,,H,,P,F3,4012420231720348051,SAN FRANCISCO,94105,OTHER,,2022,SB,4012520231720532618,https://docquery.fec.gov/cgi-bin/fecimg/?202301249574937073,Operating Expenditures,,,,,,
C00721365,DEVOLDER-SANTOS FOR CONGRESS,2021,Q1,202301249574937077,17,SB17.I526,1678901,ORG,ORGANIZATION,,,UBER,CA,,,,,TAXI FARE,,,2021-03-08 00:00:00,6.00,,,,,,,,,,,,,P2022,PRIMARY,PRIMARY,2022,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2023-01-26 03:36:29,,,,0.00,,,,002,Travel Expenses,,,,,,,H,,P,F3,4012420231720348051,SAN FRANCISCO,94105,OTHER,,2022,SB,4012520231720532629,https://docquery.fec.gov/cgi-bin/fecimg/?202301249574937077,Operating Expenditures,,,,,,
C00721365,DEVOLDER-SANTOS FOR CONGRESS,2022,YE,202301319577869813,17,SB17.I9596,1686635,ORG,ORGANIZATION,,,FEDEX,TN,,,,,POSTAGE,,,2022-12-03 00:00:00,6.00,,,,,,,,,,,,,P2024,PRIMARY,PRIMARY,2024,A,ADD,ITEMIZED DISBURSEMENTS,2023-02-03 03:36:05,,,,0.00,,,,001,Administrative/Salary/Overhead Expenses ,,,,,,,H,,P,F3,4020120231721650141,NASHVILLE,37210,ADMINISTRATIVE,,2022,SB,4020220231722247952,https://docquery.fec.gov/cgi-bin/fecimg/?202301319577869813,Operating Expenditures,,,,,,
C00721365,DEVOLDER-SANTOS FOR CONGRESS,2022,Q2,202301249574938080,17,SB17.I7441,1678920,ORG,ORGANIZATION,,,UBER,CA,,,,,TAXI FARE,,,2022-04-16 00:00:00,7.48,,,,,,,,,,,,,P2022,PRIMARY,PRIMARY,2022,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2023-01-26 03:36:29,,,,0.00,,,,002,Travel Expenses,,,,,,,H,,P,F3,4012420231720348057,SAN FRANCISCO,94105,OTHER,,2022,SB,4012520231720529775,https://docquery.fec.gov/cgi-bin/fecimg/?202301249574938080,Operating Expenditures,,,,,,
